maximum,status
52321,PREDECESSOR_REPORTED_COMPLETE
52459,PREDECESSOR_REPORTED_COMPLETE
52981,PREDECESSOR_REPORTED_COMPLETE
53017,PREDECESSOR_REPORTED_COMPLETE
53329,PREDECESSOR_REPORTED_COMPLETE
54221,PREDECESSOR_REPORTED_COMPLETE
54479,PREDECESSOR_REPORTED_COMPLETE
54653,PREDECESSOR_REPORTED_COMPLETE
54799,PREDECESSOR_REPORTED_COMPLETE
54883,PREDECESSOR_REPORTED_COMPLETE
54923,PREDECESSOR_REPORTED_COMPLETE
55171,PREDECESSOR_REPORTED_COMPLETE
55411,PREDECESSOR_REPORTED_COMPLETE
56059,PREDECESSOR_REPORTED_COMPLETE
56063,PREDECESSOR_REPORTED_COMPLETE
56179,PREDECESSOR_REPORTED_COMPLETE
56311,PREDECESSOR_REPORTED_COMPLETE
56633,PREDECESSOR_REPORTED_COMPLETE
57353,PREDECESSOR_REPORTED_COMPLETE
57503,PREDECESSOR_REPORTED_COMPLETE
57809,PREDECESSOR_REPORTED_COMPLETE
58813,PREDECESSOR_REPORTED_COMPLETE
58853,PREDECESSOR_REPORTED_COMPLETE
58943,PREDECESSOR_REPORTED_COMPLETE
59671,PREDECESSOR_REPORTED_COMPLETE
59837,PREDECESSOR_REPORTED_COMPLETE
59897,PREDECESSOR_REPORTED_COMPLETE
60223,PREDECESSOR_REPORTED_COMPLETE
60661,PREDECESSOR_REPORTED_COMPLETE
60839,PREDECESSOR_REPORTED_COMPLETE
61099,PREDECESSOR_REPORTED_COMPLETE
61585,PREDECESSOR_REPORTED_COMPLETE
61613,PREDECESSOR_REPORTED_COMPLETE
61763,PREDECESSOR_REPORTED_COMPLETE
61819,PREDECESSOR_REPORTED_COMPLETE
61879,PREDECESSOR_REPORTED_COMPLETE
61913,PREDECESSOR_REPORTED_COMPLETE
62081,PREDECESSOR_REPORTED_COMPLETE
62509,PREDECESSOR_REPORTED_COMPLETE
62513,PREDECESSOR_REPORTED_COMPLETE
63259,PREDECESSOR_REPORTED_COMPLETE
63503,PREDECESSOR_REPORTED_COMPLETE
63863,PREDECESSOR_REPORTED_COMPLETE
63883,PREDECESSOR_REPORTED_COMPLETE
64283,PREDECESSOR_REPORTED_COMPLETE
64529,PREDECESSOR_REPORTED_COMPLETE
64643,PREDECESSOR_REPORTED_COMPLETE
64727,PREDECESSOR_REPORTED_COMPLETE
65071,PREDECESSOR_REPORTED_COMPLETE
65153,PREDECESSOR_REPORTED_COMPLETE
65357,PREDECESSOR_REPORTED_COMPLETE
65423,PREDECESSOR_REPORTED_COMPLETE
65461,PREDECESSOR_REPORTED_COMPLETE
65903,PREDECESSOR_REPORTED_COMPLETE
65993,PREDECESSOR_REPORTED_COMPLETE
66001,PREDECESSOR_REPORTED_COMPLETE
66199,PREDECESSOR_REPORTED_COMPLETE
66307,PREDECESSOR_REPORTED_COMPLETE
66383,PREDECESSOR_REPORTED_COMPLETE
66769,PREDECESSOR_REPORTED_COMPLETE
66827,PREDECESSOR_REPORTED_COMPLETE
66889,PREDECESSOR_REPORTED_COMPLETE
66901,PREDECESSOR_REPORTED_COMPLETE
67079,PREDECESSOR_REPORTED_COMPLETE
67247,PREDECESSOR_REPORTED_COMPLETE
67289,PREDECESSOR_REPORTED_COMPLETE
68003,PREDECESSOR_REPORTED_COMPLETE
68119,PREDECESSOR_REPORTED_COMPLETE
68189,PREDECESSOR_REPORTED_COMPLETE
68333,PREDECESSOR_REPORTED_COMPLETE
68401,PREDECESSOR_REPORTED_COMPLETE
68791,PREDECESSOR_REPORTED_COMPLETE
68821,PREDECESSOR_REPORTED_COMPLETE
69073,PREDECESSOR_REPORTED_COMPLETE
69271,PREDECESSOR_REPORTED_COMPLETE
69341,PREDECESSOR_REPORTED_COMPLETE
69439,PREDECESSOR_REPORTED_COMPLETE
69499,PREDECESSOR_REPORTED_COMPLETE
70687,PREDECESSOR_REPORTED_COMPLETE
70733,PREDECESSOR_REPORTED_COMPLETE
71093,PREDECESSOR_REPORTED_COMPLETE
71191,PREDECESSOR_REPORTED_COMPLETE
71209,PREDECESSOR_REPORTED_COMPLETE
71363,PREDECESSOR_REPORTED_COMPLETE
71609,PREDECESSOR_REPORTED_COMPLETE
72001,PREDECESSOR_REPORTED_COMPLETE
72053,PREDECESSOR_REPORTED_COMPLETE
72181,PREDECESSOR_REPORTED_COMPLETE
72287,PREDECESSOR_REPORTED_COMPLETE
72563,PREDECESSOR_REPORTED_COMPLETE
72799,PREDECESSOR_REPORTED_COMPLETE
72841,PREDECESSOR_REPORTED_COMPLETE
72983,PREDECESSOR_REPORTED_COMPLETE
73097,PREDECESSOR_REPORTED_COMPLETE
73153,PREDECESSOR_REPORTED_COMPLETE
73159,PREDECESSOR_REPORTED_COMPLETE
73217,PREDECESSOR_REPORTED_COMPLETE
73789,PREDECESSOR_REPORTED_COMPLETE
73799,PREDECESSOR_REPORTED_COMPLETE
74243,PREDECESSOR_REPORTED_COMPLETE
74471,PREDECESSOR_REPORTED_COMPLETE
74783,PREDECESSOR_REPORTED_COMPLETE
74959,PREDECESSOR_REPORTED_COMPLETE
74963,PREDECESSOR_REPORTED_COMPLETE
74969,PREDECESSOR_REPORTED_COMPLETE
74975,PREDECESSOR_REPORTED_COMPLETE
75059,PREDECESSOR_REPORTED_COMPLETE
75113,PREDECESSOR_REPORTED_COMPLETE
